AGE,SEX
11.1266256,0
11.1266256,0
11.1266256,0
11.1266256,0
11.1266256,0
11.56468173,1
11.56468173,1
11.56468173,1
11.56468173,1
11.56468173,1
12.32854209,1
12.32854209,1
12.32854209,1
12.32854209,1
12.32854209,1
13.21013005,1
13.21013005,1
13.21013005,1
13.21013005,1
13.21013005,1
14.60643395,1
14.60643395,1
14.60643395,1
14.60643395,1
14.60643395,1
11.70157426,0
11.70157426,0
11.70157426,0
11.70157426,0
11.70157426,0
9.434633813,0
9.434633813,0
9.434633813,0
9.434633813,0
9.434633813,0
11.35934292,1
11.35934292,1
11.35934292,1
11.35934292,1
11.35934292,1
12.00273785,0
12.00273785,0
12.00273785,0
12.00273785,0
12.00273785,0
14.07802875,1
14.07802875,1
14.07802875,1
14.07802875,1
14.07802875,1
14.2642026,0
14.2642026,0
14.2642026,0
14.2642026,0
14.2642026,0
12.18617385,0
12.18617385,0
12.18617385,0
12.18617385,0
12.18617385,0
9.483915127,0
9.483915127,0
9.483915127,0
9.483915127,0
9.483915127,0
11.49897331,1
11.49897331,1
11.49897331,1
11.49897331,1
11.49897331,1
12.6844627,0
12.6844627,0
12.6844627,0
12.6844627,0
12.6844627,0
11.1156742,0
11.1156742,0
11.1156742,0
11.1156742,0
11.1156742,0
9.823408624,1
9.823408624,1
9.823408624,1
9.823408624,1
9.823408624,1
13.7357974,0
13.7357974,0
13.7357974,0
13.7357974,0
13.7357974,0
13.71389459,1
13.71389459,1
13.71389459,1
13.71389459,1
13.71389459,1
13.52772074,1
13.52772074,1
13.52772074,1
13.52772074,1
13.52772074,1
13.08418891,0
13.08418891,0
13.08418891,0
13.08418891,0
13.08418891,0
10.62833676,0
10.62833676,0
10.62833676,0
10.62833676,0
10.62833676,0
14.68856947,0
14.68856947,0
14.68856947,0
14.68856947,0
14.68856947,0
13.73305955,1
13.73305955,1
13.73305955,1
13.73305955,1
13.73305955,1
13.61259411,1
13.61259411,1
13.61259411,1
13.61259411,1
13.61259411,1
11.83572895,0
11.83572895,0
11.83572895,0
11.83572895,0
11.83572895,0
13.53593429,0
13.53593429,0
13.53593429,0
13.53593429,0
13.53593429,0
13.78781656,0
13.78781656,0
13.78781656,0
13.78781656,0
13.78781656,0
13.42094456,1
13.42094456,1
13.42094456,1
13.42094456,1
13.42094456,1
14.83641342,0
14.83641342,0
14.83641342,0
14.83641342,0
14.83641342,0
10.64202601,1
10.64202601,1
10.64202601,1
10.64202601,1
10.64202601,1
15.137577,1
15.137577,1
15.137577,1
15.137577,1
15.137577,1
13.35249829,1
13.35249829,1
13.35249829,1
13.35249829,1
13.35249829,1
10.39835729,1
10.39835729,1
10.39835729,1
10.39835729,1
10.39835729,1
11.45790554,0
11.45790554,0
11.45790554,0
11.45790554,0
11.45790554,0
13.94934976,0
13.94934976,0
13.94934976,0
13.94934976,0
13.94934976,0
13.71663244,1
13.71663244,1
13.71663244,1
13.71663244,1
13.71663244,1
14.80082136,0
14.80082136,0
14.80082136,0
14.80082136,0
14.80082136,0
14.81998631,0
14.81998631,0
14.81998631,0
14.81998631,0
14.81998631,0
13.34702259,1
13.34702259,1
13.34702259,1
13.34702259,1
13.34702259,1
13.80424367,0
13.80424367,0
13.80424367,0
13.80424367,0
13.80424367,0
13.80698152,0
13.80698152,0
13.80698152,0
13.80698152,0
13.80698152,0
14.72963724,1
14.72963724,1
14.72963724,1
14.72963724,1
14.72963724,1
15.2991102,0
15.2991102,0
15.2991102,0
15.2991102,0
15.2991102,0
9.333333333,0
9.333333333,0
9.333333333,0
9.333333333,0
9.333333333,0
12.43805613,0
12.43805613,0
12.43805613,0
12.43805613,0
12.43805613,0
10.56262834,0
10.56262834,0
10.56262834,0
10.56262834,0
10.56262834,0
13.05407255,1
13.05407255,1
13.05407255,1
13.05407255,1
13.05407255,1
13.33607118,1
13.33607118,1
13.33607118,1
13.33607118,1
13.33607118,1
14.22587269,1
14.22587269,1
14.22587269,1
14.22587269,1
14.22587269,1
13.56605065,0
13.56605065,0
13.56605065,0
13.56605065,0
13.56605065,0
11.93155373,1
11.93155373,1
11.93155373,1
11.93155373,1
11.93155373,1
12.39425051,1
12.39425051,1
12.39425051,1
12.39425051,1
12.39425051,1
9.790554415,1
9.790554415,1
9.790554415,1
9.790554415,1
9.790554415,1
9.590691307,1
9.590691307,1
9.590691307,1
9.590691307,1
9.590691307,1
13.41273101,0
13.41273101,0
13.41273101,0
13.41273101,0
13.41273101,0
11.71526352,0
11.71526352,0
11.71526352,0
11.71526352,0
11.71526352,0
11.21697468,1
11.21697468,1
11.21697468,1
11.21697468,1
11.21697468,1
10.55167693,1
10.55167693,1
10.55167693,1
10.55167693,1
10.55167693,1
13.33880904,0
13.33880904,0
13.33880904,0
13.33880904,0
13.33880904,0
12.18069815,1
12.18069815,1
12.18069815,1
12.18069815,1
12.18069815,1
13.29226557,1
13.29226557,1
13.29226557,1
13.29226557,1
13.29226557,1
13.97672827,0
13.97672827,0
13.97672827,0
13.97672827,0
13.97672827,0
10.01779603,0
10.01779603,0
10.01779603,0
10.01779603,0
10.01779603,0
12.05201917,1
12.05201917,1
12.05201917,1
12.05201917,1
12.05201917,1
14.54072553,0
14.54072553,0
14.54072553,0
14.54072553,0
14.54072553,0
12.30663929,0
12.30663929,0
12.30663929,0
12.30663929,0
12.30663929,0
9.42642026,1
9.42642026,1
9.42642026,1
9.42642026,1
9.42642026,1
10.4421629,1
10.4421629,1
10.4421629,1
10.4421629,1
10.4421629,1
12.00273785,1
12.00273785,1
12.00273785,1
12.00273785,1
12.00273785,1
11.72073922,1
11.72073922,1
11.72073922,1
11.72073922,1
11.72073922,1
10.9377139,1
10.9377139,1
10.9377139,1
10.9377139,1
10.9377139,1
13.42915811,1
13.42915811,1
13.42915811,1
13.42915811,1
13.42915811,1
10.80082136,0
10.80082136,0
10.80082136,0
10.80082136,0
10.80082136,0
12.12320329,0
12.12320329,0
12.12320329,0
12.12320329,0
12.12320329,0
9.221081451,0
9.221081451,0
9.221081451,0
9.221081451,0
9.221081451,0
11.46338125,1
11.46338125,1
11.46338125,1
11.46338125,1
11.46338125,1
11.44969199,1
11.44969199,1
11.44969199,1
11.44969199,1
11.44969199,1
15.18685832,1
15.18685832,1
15.18685832,1
15.18685832,1
15.18685832,1
14.50787132,0
14.50787132,0
14.50787132,0
14.50787132,0
14.50787132,0
13.04859685,1
13.04859685,1
13.04859685,1
13.04859685,1
13.04859685,1
14.06433949,0
14.06433949,0
14.06433949,0
14.06433949,0
14.06433949,0
13.88090349,0
13.88090349,0
13.88090349,0
13.88090349,0
13.88090349,0
12.22450377,0
12.22450377,0
12.22450377,0
12.22450377,0
12.22450377,0
12.09308693,0
12.09308693,0
12.09308693,0
12.09308693,0
12.09308693,0
12.22450377,1
12.22450377,1
12.22450377,1
12.22450377,1
12.22450377,1
13.15811088,1
13.15811088,1
13.15811088,1
13.15811088,1
13.15811088,1
15.07734429,0
15.07734429,0
15.07734429,0
15.07734429,0
15.07734429,0
12.37508556,0
12.37508556,0
12.37508556,0
12.37508556,0
12.37508556,0
11.21697468,0
11.21697468,0
11.21697468,0
11.21697468,0
11.21697468,0
11.4934976,0
11.4934976,0
